# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
70,0.583333,356.0227,351.4987,36.971234,36.501437,0.002362,-0.052055,0.9958
71,0.591667,356.0227,351.4987,36.971234,36.501437,0.002362,-0.052055,0.9958
72,0.600000,356.0112,351.6226,36.970030,36.514303,0.001158,-0.039188,0.9970
73,0.608333,356.0112,351.6226,36.970030,36.514303,0.001158,-0.039188,0.9970
74,0.616667,356.0112,351.6226,36.970030,36.514303,0.001158,-0.039188,0.9970
75,0.625000,356.0112,351.6226,36.970030,36.514303,0.001158,-0.039188,0.9970
76,0.633333,357.0857,351.1246,37.081612,36.462590,0.112740,-0.090901,0.9798
77,0.641667,357.0857,351.1246,37.081612,36.462590,0.112740,-0.090901,0.9798
78,0.650000,357.0857,351.1246,37.081612,36.462590,0.112740,-0.090901,0.9798
79,0.658333,357.0857,351.1246,37.081612,36.462590,0.112740,-0.090901,0.9798
80,0.666667,359.8801,352.0195,37.371803,36.555512,0.402931,0.002021,0.9778
81,0.675000,359.8801,352.0195,37.371803,36.555512,0.402931,0.002021,0.9778
82,0.683333,359.8801,352.0195,37.371803,36.555512,0.402931,0.002021,0.9778
83,0.691667,359.8801,352.0195,37.371803,36.555512,0.402931,0.002021,0.9778
84,0.700000,360.1178,351.7007,37.396486,36.522412,0.427614,-0.031079,0.9792
85,0.708333,360.1178,351.7007,37.396486,36.522412,0.427614,-0.031079,0.9792
86,0.716667,360.1178,351.7007,37.396486,36.522412,0.427614,-0.031079,0.9792
87,0.725000,360.1178,351.7007,37.396486,36.522412,0.427614,-0.031079,0.9792
88,0.733333,360.2022,351.4073,37.405251,36.491940,0.436379,-0.061552,0.9795
89,0.741667,360.2022,351.4073,37.405251,36.491940,0.436379,-0.061552,0.9795
90,0.750000,360.2022,351.4073,37.405251,36.491940,0.436379,-0.061552,0.9795
91,0.758333,360.2022,351.4073,37.405251,36.491940,0.436379,-0.061552,0.9795
92,0.766667,360.3620,351.4842,37.421840,36.499926,0.452968,-0.053565,0.9812
93,0.775000,360.3620,351.4842,37.421840,36.499926,0.452968,-0.053565,0.9812
94,0.783333,360.3620,351.4842,37.421840,36.499926,0.452968,-0.053565,0.9812
95,0.791667,360.3620,351.4842,37.421840,36.499926,0.452968,-0.053565,0.9812
96,0.800000,360.4560,350.0036,37.431605,36.346179,0.462733,-0.207312,0.9781
97,0.808333,360.4560,350.0036,37.431605,36.346179,0.462733,-0.207312,0.9781
98,0.816667,360.4560,350.0036,37.431605,36.346179,0.462733,-0.207312,0.9781
99,0.825000,360.4560,350.0036,37.431605,36.346179,0.462733,-0.207312,0.9781
100,0.833333,360.6241,350.8231,37.449064,36.431281,0.480193,-0.122210,0.9808
101,0.841667,360.6241,350.8231,37.449064,36.431281,0.480193,-0.122210,0.9808
102,0.850000,360.6241,350.8231,37.449064,36.431281,0.480193,-0.122210,0.9808
103,0.858333,360.6241,350.8231,37.449064,36.431281,0.480193,-0.122210,0.9808
104,0.866667,360.5256,348.3371,37.438830,36.173120,0.469958,-0.380371,0.9822
105,0.875000,360.5256,348.3371,37.438830,36.173120,0.469958,-0.380371,0.9822
106,0.883333,360.5256,348.3371,37.438830,36.173120,0.469958,-0.380371,0.9822
107,0.891667,360.5256,348.3371,37.438830,36.173120,0.469958,-0.380371,0.9822
108,0.900000,360.5475,349.0564,37.441104,36.247816,0.472232,-0.305675,0.9785
109,0.908333,360.5475,349.0564,37.441104,36.247816,0.472232,-0.305675,0.9785
110,0.916667,360.5475,349.0564,37.441104,36.247816,0.472232,-0.305675,0.9785
111,0.925000,360.5475,349.0564,37.441104,36.247816,0.472232,-0.305675,0.9785
112,0.933333,360.5234,347.9723,37.438600,36.135234,0.469728,-0.418257,0.9837
113,0.941667,360.5234,347.9723,37.438600,36.135234,0.469728,-0.418257,0.9837
114,0.950000,360.5234,347.9723,37.438600,36.135234,0.469728,-0.418257,0.9837
115,0.958333,360.5234,347.9723,37.438600,36.135234,0.469728,-0.418257,0.9837
116,0.966667,360.2707,348.1584,37.412365,36.154561,0.443493,-0.398930,0.9804
117,0.975000,360.2707,348.1584,37.412365,36.154561,0.443493,-0.398930,0.9804
118,0.983333,360.2707,348.1584,37.412365,36.154561,0.443493,-0.398930,0.9804
119,0.991667,360.2707,348.1584,37.412365,36.154561,0.443493,-0.398930,0.9804
120,1.000000,360.3049,347.7285,37.415917,36.109915,0.447045,-0.443576,0.9813
121,1.008333,360.3049,347.7285,37.415917,36.109915,0.447045,-0.443576,0.9813
122,1.016667,360.3049,347.7285,37.415917,36.109915,0.447045,-0.443576,0.9813
123,1.025000,360.3049,347.7285,37.415917,36.109915,0.447045,-0.443576,0.9813
