# Strain Tracker Export
# generated: 2026-05-22T10:14:36.142Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.401099 px per mm
# calibration_points_px: (244.844,593.615) - (338.789,590.092)
# calibration_real_distance: 10 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
120,1.000000,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
121,1.008333,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
122,1.016667,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
123,1.025000,893.6270,591.0157,95.055595,62.866665,-1.954344,-0.104699,0.9966
124,1.033333,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
125,1.041667,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
126,1.050000,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
127,1.058333,892.4181,591.0799,94.927001,62.873488,-2.082938,-0.097876,0.9964
128,1.066667,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
129,1.075000,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
130,1.083333,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
131,1.091667,891.5437,590.9023,94.833987,62.854598,-2.175952,-0.116765,0.9959
132,1.100000,890.8357,590.9993,94.758678,62.864922,-2.251261,-0.106442,0.9974
133,1.108333,890.8357,590.9993,94.758678,62.864922,-2.251261,-0.106442,0.9974
134,1.116667,890.8357,590.9993,94.758678,62.864922,-2.251261,-0.106442,0.9974
135,1.125000,890.8357,590.9993,94.758678,62.864922,-2.251261,-0.106442,0.9974
136,1.133333,890.5312,590.9376,94.726291,62.858352,-2.283648,-0.113011,0.9963
137,1.141667,890.5312,590.9376,94.726291,62.858352,-2.283648,-0.113011,0.9963
138,1.150000,890.5312,590.9376,94.726291,62.858352,-2.283648,-0.113011,0.9963
139,1.158333,890.5312,590.9376,94.726291,62.858352,-2.283648,-0.113011,0.9963
140,1.166667,889.8189,590.9674,94.650526,62.861524,-2.359413,-0.109840,0.9972
141,1.175000,889.8189,590.9674,94.650526,62.861524,-2.359413,-0.109840,0.9972
142,1.183333,889.8189,590.9674,94.650526,62.861524,-2.359413,-0.109840,0.9972
143,1.191667,889.8189,590.9674,94.650526,62.861524,-2.359413,-0.109840,0.9972
144,1.200000,888.5729,590.8525,94.517990,62.849304,-2.491949,-0.122060,0.9959
145,1.208333,888.5729,590.8525,94.517990,62.849304,-2.491949,-0.122060,0.9959
146,1.216667,888.5729,590.8525,94.517990,62.849304,-2.491949,-0.122060,0.9959
147,1.225000,888.5729,590.8525,94.517990,62.849304,-2.491949,-0.122060,0.9959
148,1.233333,887.6429,590.8028,94.419062,62.844015,-2.590877,-0.127349,0.9962
149,1.241667,887.6429,590.8028,94.419062,62.844015,-2.590877,-0.127349,0.9962
150,1.250000,887.6429,590.8028,94.419062,62.844015,-2.590877,-0.127349,0.9962
151,1.258333,887.6429,590.8028,94.419062,62.844015,-2.590877,-0.127349,0.9962
